"Countries","ResidualCorrelation"
"GUINEA (NLS-1) and IVORYCOAST (NLS-1)",0.0768393563156322
"GUINEABISSAU (NLS-1) and IVORYCOAST (NLS-1)",0.0702790742273585
"ALGERIA (NLS-1) and KENYA (NLS-1)",-0.133869938797171
"ANGOLA (OLS) and KENYA (NLS-1)",0.293400879854911
"BENIN (NLS-1) and KENYA (NLS-1)",0.064126059402887
"BOTSWANA (NLS-1) and KENYA (NLS-1)",0.262710859683893
"BURKINAFASO (NLS-1) and KENYA (NLS-1)",-0.0198690176922933
"BURUNDI (NLS-1) and KENYA (NLS-1)",-0.340972879832376
"CABOVERDE (OLS) and KENYA (NLS-1)",-0.0492808168427671
"CAMEROON (NLS-1) and KENYA (NLS-1)",0.293100803703969
"CAR (NLS-2) and KENYA (NLS-1)",-0.0611517646163071
"CHAD (NLS-1) and KENYA (NLS-1)",-0.10002929313166
"COMOROS (NLS-1) and KENYA (NLS-1)",-0.0321529198284956
"CONGODR (NLS-2) and KENYA (NLS-1)",0.422833179478426
"CONGOREPUB (NLS-1) and KENYA (NLS-1)",-0.0199931171850178
"DJIBOUTI (NLS-1) and KENYA (NLS-1)",-0.0241123756767586
"EGYPT (NLS-1) and KENYA (NLS-1)",-0.130510555650194
"EQGUINEA (NLS-2) and KENYA (NLS-1)",0.15953159397795
"ERITREA (OLS) and KENYA (NLS-1)",-0.101331121467724
"ETHIOPIA (NLS-2) and KENYA (NLS-1)",0.0926550061779612
"GABON (NLS-1) and KENYA (NLS-1)",0.0123668928259108
"GAMBIA (NLS-1) and KENYA (NLS-1)",-0.365639461237986
"GHANA (OLS) and KENYA (NLS-1)",-0.143896693613477
"GUINEA (NLS-1) and KENYA (NLS-1)",-0.0262277331834069
"GUINEABISSAU (NLS-1) and KENYA (NLS-1)",-0.16843147066323
"IVORYCOAST (NLS-1) and KENYA (NLS-1)",-0.0198531482485436
"ALGERIA (NLS-1) and LESOTHO (NLS-1)",0.0303446739565501
"ANGOLA (OLS) and LESOTHO (NLS-1)",0.00460686315734285
"BENIN (NLS-1) and LESOTHO (NLS-1)",0.2834489534202
